gender,yearsExperience,yearsSchool,wage,,STD,AVG,COV
female,4,28,6.315295646,EXP,14.17481811,24.40467517,58.08238797
female,3,5,5.479769979,SCHOOL,14.61457908,24.26684882,60.22446173
female,27,22,3.642169917,,,,
female,30,35,4.5933366,,,,
female,28,26,2.418157461,,,,
female,16,22,2.09405811,,,,
female,16,29,5.51200392,,,,
female,38,11,3.54842716,,,,
female,49,16,5.81822636,,,,
female,6,26,3.8277805,,,,
female,9,30,6.73689368,,,,
female,13,11,12.86134248,,,,
female,24,33,7.655561,,,,
female,8,23,2.44977952,,,,
female,15,14,6.105662147,,,,
female,14,6,8.26800588,,,,
female,20,26,1.862405483,,,,
female,34,14,3.98089172,,,,
female,11,37,4.763460178,,,,
female,46,9,6.380595586,,,,
female,38,35,5.631123847,,,,
female,22,17,2.488057325,,,,
female,13,27,1.223738277,,,,
female,14,46,1.345653539,,,,
female,25,11,0.751111645,,,,
female,18,45,11.33023028,,,,
female,24,27,3.894757656,,,,
female,26,22,2.998515251,,,,
female,9,9,3.267896188,,,,
female,49,34,1.355197181,,,,
female,34,21,4.28711416,,,,
female,19,26,7.624938756,,,,
female,30,42,4.443786106,,,,
female,36,27,1.134281476,,,,
female,1,29,9.064184223,,,,
female,25,28,3.98089172,,,,
female,11,23,3.450705238,,,,
female,8,27,8.096728922,,,,
female,48,42,8.735213831,,,,
female,24,42,7.275845174,,,,
female,17,39,5.51200392,,,,
female,16,22,9.786358811,,,,
female,42,12,7.04311612,,,,
female,45,18,0.785271791,,,,
female,14,22,4.008730123,,,,
female,33,48,3.612151277,,,,
female,35,39,3.184713376,,,,
female,4,29,5.81822636,,,,
female,2,42,2.274795268,,,,
female,24,11,5.447892668,,,,
female,26,31,2.403557265,,,,
female,4,42,9.033561979,,,,
female,9,37,4.974095942,,,,
female,26,32,9.327612398,,,,
female,30,0,5.8734468,,,,
female,40,17,3.283209666,,,,
female,32,26,2.14355708,,,,
female,45,19,2.560573569,,,,
female,7,31,9.186673199,,,,
female,10,22,2.835191083,,,,
female,22,19,5.897617363,,,,
female,26,37,2.533294731,,,,
female,3,4,8.26800588,,,,
female,2,37,14.10205185,,,,
female,38,4,0.729323674,,,,
female,31,33,4.5933366,,,,
female,37,35,3.377726308,,,,
female,27,12,3.184713376,,,,
female,1,24,5.007410968,,,,
female,29,42,2.31896605,,,,
female,4,6,3.387992953,,,,
female,43,16,2.44977952,,,,
